Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-01-16 00:00:00-05:00,541.0700073242188,543.52001953125,536.0800170898438,542.469970703125,604400,0.0,0.0
2024-01-17 00:00:00-05:00,532.0,539.2999877929688,525.4600219726562,538.1599731445312,538900,0.0,0.0
2024-01-18 00:00:00-05:00,551.3499755859375,554.27001953125,539.3599853515625,546.4600219726562,615100,0.0,0.0
2024-01-19 00:00:00-05:00,551.4000244140625,556.280029296875,545.0399780273438,553.9299926757812,380000,0.0,0.0
2024-01-22 00:00:00-05:00,556.8300170898438,569.5999755859375,556.1699829101562,566.219970703125,456000,0.0,0.0
2024-01-23 00:00:00-05:00,566.6300048828125,571.1900024414062,562.8800048828125,563.7999877929688,362000,0.0,0.0
2024-01-24 00:00:00-05:00,567.7899780273438,567.7899780273438,558.0900268554688,558.4600219726562,291500,0.0,0.0
2024-01-25 00:00:00-05:00,558.6799926757812,559.5900268554688,549.3499755859375,554.77001953125,508900,0.0,0.0
2024-01-26 00:00:00-05:00,557.0900268554688,559.3300170898438,544.3599853515625,549.2899780273438,561600,0.0,0.0
2024-01-29 00:00:00-05:00,542.3800048828125,551.47998046875,542.3800048828125,550.9500122070312,683700,0.0,0.0
2024-01-30 00:00:00-05:00,580.1400146484375,617.3900146484375,580.1400146484375,602.239990234375,1307300,0.0,0.0
2024-01-31 00:00:00-05:00,600.0,612.530029296875,596.6300048828125,598.6199951171875,817800,0.0,0.0
2024-02-01 00:00:00-05:00,598.9400024414062,604.2999877929688,584.4099731445312,604.2999877929688,785900,0.0,0.0
2024-02-02 00:00:00-05:00,603.3599853515625,604.5800170898438,590.6699829101562,593.0599975585938,576300,0.0,0.0
2024-02-05 00:00:00-05:00,590.8499755859375,592.3900146484375,582.4299926757812,583.3900146484375,715400,0.0,0.0
2024-02-06 00:00:00-05:00,586.9299926757812,586.9299926757812,579.3400268554688,582.0,469100,0.0,0.0
